1,1,shortest,90,0,0.0,0.0000,[18, 18, 18, 18, 18]
2,1,shortest,151,28,6.013318551349163,0.1991,[36, 24, 36, 22, 33]
3,1,shortest,195,84,14.25482374496437,0.3655,[54, 20, 54, 25, 42]
4,1,shortest,210,178,29.664793948382652,0.7063,[60, 8, 72, 4, 66]
5,1,shortest,242,269,30.916662174303358,0.6388,[70, 10, 90, 16, 56]
6,1,shortest,258,465,33.481935427928896,0.6489,[77, 11, 90, 12, 68]
7,1,shortest,257,658,34.58091959448157,0.6728,[80, 3, 90, 18, 66]
8,1,shortest,253,842,32.909573075322626,0.6504,[80, 8, 90, 17, 58]
9,1,shortest,241,1011,36.92912130013385,0.7662,[85, 9, 90, 2, 55]
10,1,shortest,251,1195,37.838604625435124,0.7538,[87, 11, 90, 0, 63]
11,1,shortest,231,1424,38.33744905441675,0.8298,[86, 5, 90, 0, 50]
12,1,shortest,254,1623,37.91253090997751,0.7463,[87, 7, 90, 4, 66]
13,1,shortest,241,1817,39.458332453361486,0.8186,[89, 4, 90, 0, 58]
14,1,shortest,241,2016,39.458332453361486,0.8186,[89, 4, 90, 0, 58]
15,1,shortest,255,2198,41.221353689562406,0.8083,[89, 2, 90, 0, 74]
16,1,shortest,259,2387,40.29094191006212,0.7778,[89, 6, 90, 0, 74]
17,1,shortest,249,2602,40.409899777158564,0.8114,[90, 3, 90, 0, 66]
18,1,shortest,242,2785,39.666610644218146,0.8196,[90, 4, 90, 0, 58]
19,1,shortest,228,2968,38.995384342252606,0.8552,[90, 6, 90, 0, 42]
20,1,shortest,228,3146,38.995384342252606,0.8552,[90, 6, 90, 0, 42]
21,1,shortest,249,3560,40.409899777158564,0.8114,[90, 3, 90, 0, 66]
22,1,shortest,256,3754,41.40724574274411,0.8087,[90, 2, 90, 0, 74]
23,1,shortest,262,3946,42.13122357587066,0.8040,[90, 2, 90, 0, 80]
24,1,shortest,249,4138,40.409899777158564,0.8114,[90, 3, 90, 0, 66]
25,1,shortest,270,4332,44.090815370097204,0.8165,[90, 0, 90, 0, 90]
26,1,shortest,268,4537,42.589200509049235,0.7946,[90, 3, 90, 0, 85]
27,1,shortest,272,5365,43.60550423971726,0.8016,[90, 2, 90, 0, 90]
28,1,shortest,273,5624,43.36634639902236,0.7943,[90, 3, 90, 0, 90]
29,1,shortest,274,5878,43.12957222138889,0.7870,[90, 4, 90, 0, 90]
30,1,shortest,273,6090,43.36634639902236,0.7943,[90, 3, 90, 0, 90]
1,1,reactive,90,0,0.0,0.0000,[18, 18, 18, 18, 18]
2,1,reactive,151,28,6.013318551349163,0.1991,[36, 24, 36, 22, 33]
3,1,reactive,195,84,14.25482374496437,0.3655,[54, 20, 54, 25, 42]
4,1,reactive,210,178,29.664793948382652,0.7063,[60, 8, 72, 4, 66]
5,1,reactive,242,269,30.916662174303358,0.6388,[70, 10, 90, 16, 56]
6,1,reactive,258,465,33.481935427928896,0.6489,[77, 11, 90, 12, 68]
7,1,reactive,257,658,34.58091959448157,0.6728,[80, 3, 90, 18, 66]
8,1,reactive,253,842,32.909573075322626,0.6504,[80, 8, 90, 17, 58]
9,1,reactive,241,1011,36.92912130013385,0.7662,[85, 9, 90, 2, 55]
10,1,reactive,251,1195,37.838604625435124,0.7538,[87, 11, 90, 0, 63]
11,1,reactive,231,1424,38.33744905441675,0.8298,[86, 5, 90, 0, 50]
12,1,reactive,254,1623,37.91253090997751,0.7463,[87, 7, 90, 4, 66]
13,1,reactive,241,1817,39.458332453361486,0.8186,[89, 4, 90, 0, 58]
14,1,reactive,241,2016,39.458332453361486,0.8186,[89, 4, 90, 0, 58]
15,1,reactive,255,2198,41.221353689562406,0.8083,[89, 2, 90, 0, 74]
16,1,reactive,259,2387,40.29094191006212,0.7778,[89, 6, 90, 0, 74]
17,1,reactive,249,2602,40.409899777158564,0.8114,[90, 3, 90, 0, 66]
18,1,reactive,242,2785,39.666610644218146,0.8196,[90, 4, 90, 0, 58]
19,1,reactive,228,2968,38.995384342252606,0.8552,[90, 6, 90, 0, 42]
20,1,reactive,228,3146,38.995384342252606,0.8552,[90, 6, 90, 0, 42]
21,1,reactive,249,3560,40.409899777158564,0.8114,[90, 3, 90, 0, 66]
22,1,reactive,256,3754,41.40724574274411,0.8087,[90, 2, 90, 0, 74]
23,1,reactive,262,3946,42.13122357587066,0.8040,[90, 2, 90, 0, 80]
24,1,reactive,249,4138,40.409899777158564,0.8114,[90, 3, 90, 0, 66]
25,1,reactive,270,4332,44.090815370097204,0.8165,[90, 0, 90, 0, 90]
26,1,reactive,268,4537,42.589200509049235,0.7946,[90, 3, 90, 0, 85]
27,1,reactive,272,5365,43.60550423971726,0.8016,[90, 2, 90, 0, 90]
28,1,reactive,273,5624,43.36634639902236,0.7943,[90, 3, 90, 0, 90]
29,1,reactive,274,5878,43.12957222138889,0.7870,[90, 4, 90, 0, 90]
30,1,reactive,273,6090,43.36634639902236,0.7943,[90, 3, 90, 0, 90]
1,1,predictive,87,0,1.2,0.0690,[18, 18, 18, 18, 15]
2,1,predictive,168,0,3.006659275674582,0.0895,[36, 36, 36, 31, 29]
3,1,predictive,235,10,4.33589667773576,0.0923,[51, 48, 52, 41, 43]
4,1,predictive,272,31,8.357032966310472,0.1536,[64, 40, 61, 52, 55]
5,1,predictive,327,43,7.735631842325486,0.1183,[77, 61, 71, 55, 63]
6,1,predictive,359,72,10.906878563548783,0.1519,[85, 66, 82, 55, 71]
7,1,predictive,386,113,14.74313399518569,0.1910,[94, 76, 88, 51, 77]
8,1,predictive,404,158,17.88183435780569,0.2213,[102, 60, 94, 59, 89]
9,1,predictive,407,249,21.077001684300356,0.2589,[99, 63, 106, 51, 88]
10,1,predictive,408,309,20.441134997841974,0.2505,[95, 68, 108, 50, 87]
11,1,predictive,400,434,27.640549922170507,0.3455,[101, 45, 109, 48, 97]
12,1,predictive,408,518,27.463430230034994,0.3366,[92, 44, 118, 56, 98]
13,1,predictive,411,631,27.374440633554503,0.3330,[107, 43, 116, 61, 84]
14,1,predictive,403,787,34.47085725652903,0.4277,[95, 21, 120, 66, 101]
15,1,predictive,400,912,28.333725487482226,0.3542,[89, 38, 122, 62, 89]
16,1,predictive,375,1081,29.819456735494025,0.3976,[72, 25, 117, 73, 88]
17,1,predictive,383,1254,30.216551755618976,0.3945,[93, 31, 116, 54, 89]
18,1,predictive,382,1412,36.04774611539534,0.4718,[90, 16, 126, 65, 85]
19,1,predictive,375,1593,32.96664981462326,0.4396,[79, 20, 121, 66, 89]
20,1,predictive,362,1809,37.24298591681392,0.5144,[83, 9, 122, 61, 87]
21,1,predictive,368,1978,36.65296713773661,0.4980,[88, 17, 127, 54, 82]
22,1,predictive,394,2216,36.52067907364265,0.4635,[97, 15, 121, 65, 96]
23,1,predictive,362,2455,36.908535598151275,0.5098,[72, 13, 127, 63, 87]
24,1,predictive,341,2644,37.92308004368844,0.5561,[66, 12, 125, 49, 89]
25,1,predictive,358,2826,38.77937596197236,0.5416,[82, 13, 127, 47, 89]
26,1,predictive,318,3087,36.75105440664254,0.5778,[62, 13, 121, 40, 82]
27,1,predictive,331,3303,43.869807385034186,0.6627,[59, 8, 131, 35, 98]
28,1,predictive,337,3540,36.94103409489236,0.5481,[68, 12, 126, 53, 78]
29,1,predictive,348,3776,40.51962487486774,0.5822,[69, 8, 129, 50, 92]
30,1,predictive,321,4057,35.5437758264369,0.5536,[75, 20, 120, 32, 74]
1,5,shortest,487,0,0.4898979485566356,0.0050,[97, 97, 98, 97, 98]
2,5,shortest,908,0,15.628179676469042,0.0861,[193, 162, 196, 163, 194]
3,5,shortest,1099,75,73.62445245976367,0.3350,[289, 124, 294, 139, 253]
4,5,shortest,1218,200,128.07747655228064,0.5258,[353, 91, 392, 93, 289]
5,5,shortest,1328,293,173.78446420782268,0.6543,[409, 80, 490, 54, 295]
6,5,shortest,1368,451,192.81763404834112,0.7047,[450, 61, 490, 31, 336]
7,5,shortest,1392,578,192.83215499495927,0.6926,[470, 55, 490, 50, 327]
8,5,shortest,1410,784,201.19343925685052,0.7135,[474, 45, 490, 38, 363]
9,5,shortest,1433,1017,217.95100366825568,0.7605,[475, 29, 490, 13, 426]
10,5,shortest,1438,1183,201.18310068194097,0.6995,[477, 70, 490, 23, 378]
11,5,shortest,1437,1393,212.00999976416207,0.7377,[479, 49, 490, 12, 407]
12,5,shortest,1430,1550,218.20449124617028,0.7630,[480, 29, 490, 12, 419]
13,5,shortest,1452,1781,218.06842962703243,0.7509,[478, 39, 490, 10, 435]
14,5,shortest,1451,1992,216.33621980611568,0.7455,[480, 47, 490, 7, 427]
15,5,shortest,1406,2290,211.0179139314954,0.7504,[475, 50, 490, 4, 387]
16,5,shortest,1417,2482,221.4421820701738,0.7814,[474, 22, 490, 5, 426]
17,5,shortest,1441,2698,216.48131559097655,0.7511,[476, 36, 490, 13, 426]
18,5,shortest,1429,2943,221.9958558171751,0.7768,[475, 27, 490, 3, 434]
19,5,shortest,1419,3131,219.8421251716786,0.7746,[480, 28, 490, 5, 416]
20,5,shortest,1437,3360,208.18607061953017,0.7244,[480, 62, 490, 11, 394]
21,5,shortest,1429,3666,218.77604987749461,0.7655,[479, 29, 490, 10, 421]
22,5,shortest,1464,3804,216.64939418332102,0.7399,[479, 53, 490, 5, 437]
23,5,shortest,1410,4134,220.433209839171,0.7817,[479, 20, 490, 8, 413]
24,5,shortest,1436,4323,219.65008536306104,0.7648,[478, 31, 490, 8, 429]
25,5,shortest,1433,4638,227.1251637313664,0.7925,[478, 15, 490, 3, 447]
26,5,shortest,1456,4913,226.60397172159185,0.7782,[473, 26, 490, 2, 465]
27,5,shortest,1441,5073,225.55389599827353,0.7826,[476, 22, 490, 3, 450]
28,5,shortest,1441,5349,228.97196334922756,0.7945,[471, 14, 490, 2, 464]
29,5,shortest,1442,5580,230.3394017531521,0.7987,[473, 13, 490, 0, 466]
30,5,shortest,1454,5767,230.61257554608767,0.7930,[474, 15, 490, 2, 473]
1,5,reactive,487,0,0.4898979485566356,0.0050,[97, 97, 98, 97, 98]
2,5,reactive,908,0,15.628179676469042,0.0861,[193, 162, 196, 163, 194]
3,5,reactive,1183,9,60.96097112087372,0.2577,[289, 156, 294, 169, 275]
4,5,reactive,1430,96,109.78706663355206,0.3839,[372, 118, 392, 193, 355]
5,5,reactive,1576,166,134.07669446999356,0.4254,[393, 104, 490, 232, 357]
6,5,reactive,1649,280,138.85013503774493,0.4210,[428, 114, 490, 226, 391]
